ÁREA,PRÉDIO,LOCAL,MÁQUINA,FABRICANTE,BTU,FUNCIONA,ESTADO,FUNCAO,CRITICO,AUTOMACAO,DIAS SEMANA,HORAS,PRIORIDADE,RISCO,AREA_M2,ALTURA_M,VOLUME_M3,,,,OBSERVAÇÕES
OPERATIVA,F21,MECÂNICA 01,SPLIT,,"90,000",NOK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,VERIFICAR
OPERATIVA,F21,MECÂNICA 02,SPLIT,,"90,000",NOK,VELHA,ARMAMENTO,,,5,8,2,2,,,,,,,VERIFICAR
OPERATIVA,F21,MECÂNICA 03,SPLIT,,"12,000",OK,NOVA,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,F21,MECÂNICA 03,SELF CONTAINED,,"180,000",OK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,F21,MECÂNICA 03,SELF CONTAINED,,"180,000",NOK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,AGUARDANDO MATERIAL PARA MANUTENÇÃO
OPERATIVA,F21,MECÂNICA 04,SPLIT,,"90,000",NOK,VELHA,ARMAMENTO,,,5,8,2,2,,,,,,,VERIFICAR
OPERATIVA,F21,SALA DE ARMAZENAGEM,SPLIT,,"36,000",NOK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,VERIFICAR
OPERATIVA,F21,SALA DE AULA,SPLIT,,"36,000",OK,SEMI,CONFORTO,X,,7,24,1,1,,,,,,,.
OPERATIVA,F21,SALA DE MONITORAMENTO DA BATERIA,SPLIT,,"12,000",NOK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,VERIFICAR
OPERATIVA,F21,SALA DE OPERAÇÕES,SPLIT,,"18,000",OK,NOVA,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,F21,SALA DE REUNIÕES,SPLIT,,"36,000",OK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,MINAS E BOMBAS,SALA DA M100,SPLIT,,"22,000",OK,VELHA,ARMAMENTO,,,5,8,2,2,,,,,,,
